Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"74051230";"1";"Sparkasse Freyung-Grafenau";"94078";"Freyung";"Spk Freyung-Grafenau";"57287";"BYLADEM1FRG";"00";"010769";"U";"0";"00000000"
"74061101";"1";"Raiffeisenbank Goldener Steig - Dreisessel";"94133";"Röhrnbach";"Raiffbk Gold Steig Dreisess";"67998";"GENODEF1RGS";"88";"027287";"U";"0";"00000000"
"74061564";"1";"Raiffeisenbank Unteres Inntal";"94152";"Neuhaus a.Inn";"Raiffbk Unteres Inntal";"68006";"GENODEF1NUI";"88";"030489";"U";"0";"00000000"
"74061670";"1";"Raiffeisenbank Ortenburg-Kirchberg";"94496";"Ortenburg";"Raiffbk Ortenburg-Kirchberg";"67074";"GENODEF1ORT";"88";"026983";"U";"0";"00000000"
"74061813";"1";"VR-Bank Rottal-Inn";"84347";"Pfarrkirchen";"VR-Bank Rottal-Inn";"67078";"GENODEF1PFK";"88";"027224";"U";"0";"00000000"
"74061814";"1";"VR-Bank Rottal-Inn Gf GAA";"84347";"Pfarrkirchen";"VR Rottal-Inn Gf GAA";;"GENODEF1PFK";"88";"056712";"U";"0";"00000000"
"74062490";"1";"VR-Bank Vilshofen-Pocking";"94060";"Pocking";"VR Vilshofen-Pocking";"68012";"GENODEF1VIR";"88";"027002";"U";"0";"00000000"
"74062786";"1";"Raiffeisenbank i Lkr Passau-Nord";"94113";"Tiefenbach";"Raiffbk i Lkr Passau-Nord";"68036";"GENODEF1TIE";"88";"027130";"U";"0";"00000000"
"74064593";"1";"Raiffeisenbank";"94108";"Wegscheid";"Raiffeisenbank Wegscheid";"68004";"GENODEF1WSD";"88";"027028";"U";"0";"00000000"
"74065782";"1";"Raiffeisenbank Salzweg-Thyrnau -alt-";"94119";"Salzweg";"Raiffbk Salzweg-Thyrnau-alt";"67999";"GENODEF1SZT";"88";"027306";"U";"0";"00000000"
"74066749";"1";"Raiffeisenbank Südl. Bayerischer Wald -alt-";"94051";"Hauzenberg";"RB Südl Bayer Wald -alt-";"68033";"GENODEF1HZN";"88";"026707";"U";"0";"00000000"
"74067000";"1";"Rottaler Raiffeisenbank -alt-";"94060";"Pocking";"Rottaler Raiffbk -alt-";"68070";"GENODEF1POC";"88";"027231";"U";"0";"00000000"
"74069744";"1";"Raiffeisenbank";"94143";"Grainet";"Raiffeisenbank Grainet";"67833";"GENODEF1GRT";"88";"026666";"U";"0";"00000000"
"74069752";"1";"Raiffeisenbank Hohenau-Mauth -alt-";"94545";"Hohenau";"Raiffbk Hohenau-Mauth -alt-";"67844";"GENODEF1HHU";"88";"026749";"U";"1";"00000000"
"74069758";"1";"Raiffeisenbank Kirchberg v. Wald -alt-";"94113";"Tiefenbach";"Raiffbk Kirchberg -alt-";"67855";"GENODEF1TKI";"88";"026799";"U";"0";"00000000"
"74069768";"1";"Raiffeisenbank am Dreisessel -alt-";"94089";"Neureichenau";"Raiffbk am Dreisessel -alt-";"67869";"GENODEF1NHD";"88";"026929";"U";"0";"00000000"
